SKU,Tên,Hãng,Nhóm,Series,KíchThước,PN,VậtLiệu,Giá,LinkẢnh,GhiChú
KTR-ROTEX,Rotex,KTR Germany,Cao su giảm chấn,Rotex,,,,,,
KTR-ROTEXGS,Rotex GS,KTR Germany,Cao su giảm chấn,Rotex GS,,,,,,
KTR-BOWEX,Bowex,KTR Germany,Cao su giảm chấn,Bowex,,,,,,
KTR-ROFLEX,Roflex,KTR Germany,Cao su giảm chấn,Roflex,,,,,,
KTR-ROTEX-2,Rotex Standard,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-3,ROTEX clamping ring hubs,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-4,ROTEX clamping hubs,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-5,ROTEX AFN,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-6,ROTEX BFN,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-7,ROTEX AH,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-8,ROTEX SH,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-9,ROTEX CF,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-10,ROTEX CFN,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-11,ROTEX DF,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-12,ROTEX DFN,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-13,ROTEX ZS-DKM-SH,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-14,ROTEX ZR,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-15,ROTEX BTAN,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-16,ROTEX SBAN,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-17,ROTEX AFN-SB,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-18,ROTEX SD,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-19,ROTEX taper clamping sleeve,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROTEX-20,ROTEX ZRS,KTR Germany,Khớp nối linh hoạt,ROTEX,,,,,,
KTR-ROFLEX-2,ROFLEX SH,KTR Germany,Khớp nối linh hoạt,ROFLEX,,,,,,
KTR-ROFLEX-3,ROFLEX N,KTR Germany,Khớp nối linh hoạt,ROFLEX,,,,,,
KTR-POLY,Poly PKA,KTR Germany,Khớp nối linh hoạt,POLY,,,,,,
KTR-POLY-2,Poly PKD,KTR Germany,Khớp nối linh hoạt,POLY,,,,,,
KTR-POLY-3,Poly PKZ,KTR Germany,Khớp nối linh hoạt,POLY,,,,,,
KTR-POLYNORM,Poly-Norm AR,KTR Germany,Khớp nối linh hoạt,Poly-Norm,,,,,,
KTR-POLYNORM-2,Poly-Norm ADR,KTR Germany,Khớp nối linh hoạt,Poly-Norm,,,,,,
KTR-POLYNORM-3,Poly-Norm ADR-BTA,KTR Germany,Khớp nối linh hoạt,Poly-Norm,,,,,,
KTR-POLYNORM-4,Poly-Norm ADR-SBA,KTR Germany,Khớp nối linh hoạt,Poly-Norm,,,,,,
KTR-POLYNORM-5,Poly-Norm AZR,KTR Germany,Khớp nối linh hoạt,Poly-Norm,,,,,,
KTR-POLYNORM-6,Poly-Norm M,KTR Germany,Khớp nối linh hoạt,Poly-Norm,,,,,,
KTR-EVOLASTIC,Evolastic E/EP,KTR Germany,Khớp nối linh hoạt,Evolastic,,,,,,
KTR-EVOLASTIC-2,Evolastic EH/EHP,KTR Germany,Khớp nối linh hoạt,Evolastic,,,,,,
KTR-EVOLASTIC-3,Evolastic E2H/E2HP,KTR Germany,Khớp nối linh hoạt,Evolastic,,,,,,
KTR-EVOLASTIC-4,Evolastic EFH/EFHP,KTR Germany,Khớp nối linh hoạt,Evolastic,,,,,,
KTR-EVOLASTIC-5,Evolastic D2H,KTR Germany,Khớp nối linh hoạt,Evolastic,,,,,,
KTR-EVOLASTIC-6,Evolastic DFH,KTR Germany,Khớp nối linh hoạt,Evolastic,,,,,,
KTR-REVOLEX,Revolex KX-D made of cast iron,KTR Germany,Khớp nối bulong đai ốc,Revolex,,,,,,
KTR-REVOLEX-2,Revolex KX-D made of steel,KTR Germany,Khớp nối bulong đai ốc,Revolex,,,,,,
KTR-REVOLEX-3,Revolex KX-D SB,KTR Germany,Khớp nối bulong đai ốc,Revolex,,,,,,
KTR-REVOLEX-4,Revolex KX-D with KTR 650 clamping set,KTR Germany,Khớp nối bulong đai ốc,Revolex,,,,,,
KTR-RADEX,Radex-N,KTR Germany,Khớp nối đĩa đàn hồi,Radex,,,,,,
KTR-RADEX-2,Radex-N NANA 3,KTR Germany,Khớp nối đĩa đàn hồi,Radex,,,,,,
KTR-RADEX-3,Radex-N NNZ,KTR Germany,Khớp nối đĩa đàn hồi,Radex,,,,,,
KTR-RADEX-4,Radex-N NN,KTR Germany,Khớp nối đĩa đàn hồi,Radex,,,,,,
KTR-RADEX-5,Radex-N Composite,KTR Germany,Khớp nối đĩa đàn hồi,Radex,,,,,,
KTR-RADEX-6,Radex-N NANA 4,KTR Germany,Khớp nối đĩa đàn hồi,Radex,,,,,,
KTR-RADEX-7,Radex-N NENE,KTR Germany,Khớp nối đĩa đàn hồi,Radex,,,,,,
KTR-RADEX-8,Radex-N NNW,KTR Germany,Khớp nối đĩa đàn hồi,Radex,,,,,,
KTR-RIGIFLEXN,Rigiflex-N,KTR Germany,Khớp nối đĩa đàn hồi,Rigiflex-N,,,,,,
KTR-RIGIFLEXN-2,Rigiflex-N AH,KTR Germany,Khớp nối đĩa đàn hồi,Rigiflex-N,,,,,,
KTR-ROTEXGS-2,Rotex GS Standard types,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-3,Rotex GS Compact,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-4,Rotex GS clamping ring hubs light,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-5,Rotex GS clamping ring hubs steel,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-6,Rotex GS P acc. to DIN 69002,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-7,Rotex GS ETP,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-8,Rotex GS expansion hub,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-9,Rotex GS A-H,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-10,Rotex GS DKM,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-11,Rotex GS ZRS,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-12,Rotex GS ZR1,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-13,Rotex GS ZR2,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-14,Rotex GS ZR3,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-15,Rotex GS HP,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-16,Rotex GS miniature coupling,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-ROTEXGS-17,Rotex GS,KTR Germany,Khớp nối servo,ROTEX GS,,,,,,
KTR-RADEXNC,Radex-NC ZR,KTR Germany,Khớp nối servo,Radex-NC,,,,,,
KTR-RADEXNC-2,Radex-NC DK,KTR Germany,Khớp nối servo,Radex-NC,,,,,,
KTR-RADEXNC-3,Radex-NC EK,KTR Germany,Khớp nối servo,Radex-NC,,,,,,
KTR-SYNTEX,KTR Syntex,KTR Germany,Khớp nối bảo vệ quá tải,Syntex,,,,,,
